kuupäev,valgus,pikkus
2019-04-01 09:44:40,0.69,19
2019-04-01 09:54:40,0.67,19
2019-04-01 10:14:41,0.67,18
2019-04-01 10:24:41,0.67,17
2019-04-01 10:34:41,0.67,17
2019-04-01 10:44:42,0.68,18
2019-04-01 10:54:42,0.69,17
2019-04-01 11:04:42,0.69,17
2019-04-01 11:14:43,0.7,17
2019-04-01 11:24:43,0.71,17
2019-04-01 11:34:44,0.71,17
2019-04-01 11:44:44,0.71,17
2019-04-01 11:54:44,0.72,17
2019-04-01 12:04:45,0.72,17
2019-04-01 12:14:45,0.73,17
2019-04-01 12:24:46,0.73,17
2019-04-01 12:34:46,0.74,17
2019-04-01 12:44:46,0.75,17
2019-04-01 12:54:47,0.75,16
2019-04-01 01:04:47,0.77,17
2019-04-01 01:14:47,0.77,17
2019-04-01 01:24:48,0.79,12
2019-04-01 01:34:48,0.79,16
2019-04-01 01:44:49,0.81,16
2019-04-01 01:54:49,0.83,16
2019-04-01 02:04:49,0.84,10
2019-04-01 02:14:50,0.87,9
2019-04-01 02:24:50,0.89,-80
2019-04-01 02:34:50,0.91,-80
2019-04-01 02:44:51,0.93,-81
2019-04-01 02:54:51,0.97,-85
2019-04-01 03:04:51,1,-3051
2019-04-01 03:14:52,1.03,25
2019-04-01 03:24:52,1.07,-3036
2019-04-01 03:35:24,1.11,25
2019-04-01 03:44:58,1.15,-2996
2019-04-01 03:54:58,1.22,25
2019-04-01 04:04:59,1.31,-72
2019-04-01 04:14:59,1.41,-3001
2019-04-01 04:25:00,1.52,25
2019-04-01 04:35:00,1.74,-3010
2019-04-01 04:45:00,2.04,25
2019-04-01 04:55:01,2.5,-3026
2019-04-01 05:05:01,3.21,25
2019-04-01 05:15:02,3.83,-74
2019-04-01 05:25:02,4.34,-3046
2019-04-01 05:35:02,4.52,25
2019-04-01 05:45:03,4.56,-3010
2019-04-01 05:55:03,4.75,25
2019-04-01 06:05:04,4.77,-3036
2019-04-01 06:15:04,4.77,25
2019-04-01 06:25:05,4.78,-3025
2019-04-01 06:35:05,4.71,25
2019-04-01 06:45:06,4.74,-3018
2019-04-01 06:55:06,4.73,25
2019-04-01 07:05:06,4.81,-3004
2019-04-01 07:15:07,4.79,25
2019-04-01 07:25:07,5,-2990
2019-04-01 07:35:08,5,25
2019-04-01 07:45:08,5,-3000
2019-04-01 07:55:09,5,25
2019-04-01 08:05:09,5,-2997
2019-04-01 08:15:09,5,25
2019-04-01 08:25:10,5,-3008
2019-04-01 08:35:10,5,25
2019-04-01 08:45:11,5,-3032
2019-04-01 08:55:11,5,25
2019-04-01 09:05:12,5,-2986
2019-04-01 09:15:12,5,25
2019-04-01 09:25:12,5,-2974
2019-04-01 09:35:13,5,25
2019-04-01 09:45:13,5,-2983
2019-04-01 09:55:14,5,25
2019-04-01 10:05:14,5,-3009
2019-04-01 10:15:15,5,25
2019-04-01 10:25:15,5,-2986
2019-04-01 10:35:15,5,25
2019-04-01 10:45:16,5,-3007
2019-04-01 10:55:16,5,25
2019-04-01 11:05:17,5,-3002
2019-04-01 11:15:17,5,25
2019-04-01 11:25:18,5,-3003
2019-04-01 11:35:18,5,25
2019-04-01 11:45:18,5,-2995
2019-04-01 11:55:19,5,25
2019-04-02 12:05:19,5,-3019
2019-04-02 12:15:20,5,25
2019-04-02 12:25:20,5,-3005
2019-04-02 12:35:21,5,25
2019-04-02 12:45:21,5,-2999
2019-04-02 12:55:21,5,25
2019-04-02 01:05:22,5,-3007
2019-04-02 01:15:22,5,25
2019-04-02 01:25:23,5,-2979
2019-04-02 01:35:23,5,26
2019-04-02 01:45:24,5,-3026
2019-04-02 01:55:24,5,26
